Household	Health	OwnHome	Instagram	Marital	Sex	Age	Children	Education	JobSat	Income	WorkHrs	Happy
"350"	2	1	1	0	3	1	52	2	12	0	25740	-1	2
"351"	2	3	0	1	1	2	52	5	14	1	2106	20	1
"352"	2	1	1	0	1	2	36	1	18	0	0	-1	1
"354"	2	2	1	0	1	1	56	4	12	0	21060	-1	2
"355"	2	1	0	2	1	2	64	1	13	0	0	-1	1
"356"	3	2	0	1	1	2	62	3	19	4	5265	40	2
"357"	2	1	0	2	1	2	35	2	16	2	12870	20	2
"358"	2	0	1	2	5	1	60	0	16	3	38610	-1	2
"360"	1	2	1	0	2	2	62	2	13	0	164382.03756	-1	1
"361"	2	1	0	2	1	1	30	1	16	2	31590	60	2
"362"	2	0	2	2	5	1	27	1	12	3	21060	-1	2
"363"	2	1	1	0	1	1	79	4	16	0	21060	-1	2
"364"	3	2	0	2	1	2	60	3	12	3	25740	32	2
"365"	3	2	1	0	1	1	51	5	18	0	74880	-1	1
"366"	2	0	2	2	3	2	42	1	12	2	21060	-1	3
"367"	3	3	1	0	1	1	59	1	9	0	0	-1	2
"368"	2	0	2	2	1	1	49	0	15	0	6435	-1	2
"369"	2	2	1	0	1	2	53	2	13	0	0	-1	1
"373"	2	3	0	0	1	1	64	0	12	1	0	16	1
"374"	2	2	1	0	1	2	80	2	18	0	0	-1	2
"375"	4	0	9	0	1	2	61	4	14	8	0	-1	2
"376"	2	0	2	1	1	2	34	0	16	0	12870	-1	2
"379"	1	2	0	2	1	1	99	7	13	3	164382.03756	65	2
"380"	2	0	1	0	1	2	68	3	18	0	12870	-1	2
"381"	2	0	1	0	1	1	89	1	20	1	936	-1	2
"383"	1	2	2	0	3	1	64	3	12	0	0	-1	2
"384"	2	2	0	1	5	2	40	2	13	5	15210	40	2
"385"	3	0	1	1	5	2	27	0	18	0	0	-1	2
"386"	2	4	1	0	1	2	56	1	16	0	11115	-1	2
"387"	2	2	0	0	1	2	71	2	16	2	0	20	2
"388"	1	0	2	0	5	2	29	0	16	2	17550	-1	2
"389"	2	2	0	2	1	2	74	2	16	0	0	-1	1
"390"	1	0	1	1	5	2	30	0	18	0	0	-1	2
"391"	1	2	0	0	2	2	65	5	16	0	12870	-1	1
"393"	1	2	0	2	1	1	38	2	20	2	31590	40	2
"395"	2	1	0	2	5	1	25	0	16	2	15210	-1	1
"396"	1	1	2	0	5	2	25	0	18	0	0	-1	2
"399"	2	0	2	2	1	2	34	0	16	0	25740	-1	1
"400"	1	2	2	0	5	1	36	0	16	0	0	-1	2
"401"	2	1	0	0	1	1	59	3	11	2	38610	40	2
"402"	2	0	2	1	1	2	49	2	13	0	11115	-1	1
"403"	2	1	0	2	1	2	45	5	14	3	38610	40	2
"404"	3	0	1	0	5	1	34	1	12	4	17550	-1	2
"405"	2	2	1	0	1	1	44	3	16	0	164382.03756	-1	2
"407"	3	0	1	2	1	2	53	3	12	0	0	-1	3
"408"	1	0	1	0	3	2	59	0	20	2	46800	-1	1
"410"	1	3	2	0	5	1	44	0	18	0	21060	-1	3
"411"	1	0	1	2	5	1	68	0	19	3	0	-1	2
"412"	2	1	0	9	1	1	37	2	20	5	17550	40	2
"413"	2	0	1	1	1	1	37	1	15	2	65520	-1	2
"415"	1	2	2	0	3	2	34	2	12	0	11115	-1	2
"416"	1	2	0	0	1	1	25	2	12	2	21060	48	2
"417"	1	2	2	0	3	2	44	4	13	0	8775	-1	2
"418"	2	3	0	0	1	2	63	3	10	0	0	-1	1
"419"	2	0	2	0	5	1	26	0	12	0	0	-1	2
"420"	1	3	2	0	3	2	64	3	14	0	0	-1	3
"421"	3	0	1	1	5	1	21	0	13	2	15210	-1	2
"422"	2	1	2	0	1	2	31	2	10	0	9945	-1	1
"423"	3	0	2	0	1	2	27	2	12	0	3510	-1	2
"424"	3	1	0	2	1	2	53	2	20	1	46800	30	1
"426"	2	1	0	0	1	2	53	1	16	0	234	-1	2
"427"	2	2	1	0	1	1	59	2	18	0	56160	-1	2
"428"	2	2	1	0	1	1	47	2	18	0	164382.03756	-1	2
"429"	3	0	2	1	5	1	27	0	10	0	0	-1	2
"432"	2	0	2	1	5	2	24	1	12	0	234	-1	2
"434"	2	1	0	2	1	1	44	1	6	1	31590	40	1
"435"	1	1	0	1	5	1	29	0	13	1	21060	40	2
"436"	2	0	1	2	5	2	57	0	16	0	31590	-1	2
"437"	2	2	1	0	1	1	61	3	13	0	0	-1	1
"438"	1	2	1	0	3	1	66	3	14	0	0	-1	2
"439"	1	0	2	0	5	2	48	3	11	0	0	-1	1
"440"	1	1	2	0	5	1	26	0	16	0	5265	-1	2
"441"	2	1	0	1	5	2	29	0	16	4	38610	40	1
"442"	2	0	2	2	3	1	48	0	16	3	0	-1	2
"443"	2	1	0	1	5	1	30	0	20	4	0	-1	1
"444"	2	3	0	2	1	1	56	2	12	2	12870	40	2
"445"	4	2	1	0	5	1	28	0	12	0	9945	-1	2
"446"	2	0	1	2	1	2	99	0	14	2	0	-1	1
"447"	1	4	1	0	3	1	65	1	12	0	0	-1	2
"448"	2	0	1	2	1	1	43	3	12	0	21060	-1	1
"449"	2	1	1	0	1	1	49	2	16	0	164382.03756	-1	1
"450"	3	0	1	2	5	2	19	0	12	3	3510	-1	2
"451"	2	3	2	0	1	2	30	0	14	0	0	-1	2
"454"	3	0	1	2	5	1	40	0	12	0	936	-1	3
"455"	1	2	1	0	5	1	65	3	17	0	0	-1	2
"457"	2	2	1	0	1	2	34	1	17	0	164382.03756	-1	1
"459"	1	0	1	1	3	2	48	2	18	0	164382.03756	-1	2
"460"	2	2	1	0	1	1	81	5	12	0	0	-1	1
"461"	3	1	0	1	1	2	58	1	20	3	164382.03756	35	2
"462"	2	0	1	2	3	2	64	1	18	2	0	-1	2
"463"	2	1	0	2	5	2	37	0	20	2	164382.03756	50	2
"464"	2	0	1	2	1	1	66	1	16	0	0	-1	2
"465"	1	1	0	2	5	1	31	0	19	3	25740	35	1
"466"	3	0	3	2	1	1	64	2	16	2	21060	-1	1
"469"	4	0	1	1	1	2	29	0	16	0	12870	-1	2
"470"	2	2	1	0	1	1	59	2	16	0	164382.03756	-1	2
"471"	2	1	0	2	1	2	59	4	18	3	38610	50	2
"472"	2	0	1	2	1	1	71	2	16	1	56160	-1	2
"473"	1	0	2	2	1	1	36	1	18	0	56160	-1	3
"474"	2	2	2	0	5	1	29	0	13	0	21060	-1	2
"475"	2	2	0	1	1	1	28	0	16	2	25740	40	1
"477"	1	4	2	0	2	2	71	5	9	0	0	-1	2
"478"	2	0	2	1	5	1	24	0	16	0	17550	-1	2
"480"	1	2	0	1	3	2	34	0	19	3	3510	40	2
"482"	3	1	0	2	5	1	27	0	16	3	21060	40	2
"483"	3	2	0	1	5	2	26	0	16	2	4212	45	1
"485"	2	0	1	2	1	2	61	0	14	0	38610	-1	2
"487"	2	0	1	0	1	1	84	2	14	0	0	-1	3
"488"	1	2	1	0	5	1	73	0	20	0	46800	-1	2
"489"	3	2	0	2	1	1	37	1	12	1	46800	80	2
"490"	1	3	0	2	2	2	82	2	14	0	0	-1	2
"492"	2	0	1	9	1	2	72	2	10	9	0	-1	3
"494"	2	2	0	2	5	1	32	0	20	0	8775	-1	3
"496"	3	2	2	0	3	1	50	3	12	0	0	-1	1
"497"	2	1	1	0	1	1	34	0	13	0	38610	-1	1
"498"	1	0	2	2	3	2	42	3	12	1	25740	-1	2
"499"	2	2	0	2	1	2	58	2	12	2	8775	18	1
"500"	1	0	2	2	3	2	33	3	12	3	4212	-1	2
"501"	2	3	2	0	5	2	58	2	13	0	15210	-1	2
"504"	5	3	0	0	5	2	32	0	12	5	5265	-1	2
"505"	5	2	1	0	5	1	20	0	12	0	11115	-1	1
"506"	3	0	1	0	5	1	19	0	12	2	0	-1	1
"507"	3	1	0	0	1	2	54	1	16	3	25740	45	2
"508"	4	0	1	1	5	2	21	0	15	0	0	-1	3
"510"	2	3	0	2	3	2	42	2	16	3	38610	40	2
"512"	2	1	1	0	1	2	68	2	18	0	0	-1	1
"515"	2	2	0	2	5	1	51	0	13	3	31590	48	2
"516"	2	0	1	2	1	1	69	2	12	1	31590	-1	2
"517"	2	1	1	0	1	2	34	0	19	0	0	-1	1
"518"	3	2	0	1	5	1	24	0	15	6	2106	999	3
"519"	2	2	1	0	1	2	45	0	17	0	0	-1	2
"520"	2	0	2	2	5	2	34	3	10	0	0	-1	3
"521"	2	4	1	0	1	1	58	1	13	0	46800	-1	2
"522"	9	1	1	0	1	2	47	3	20	0	31590	-1	1
"523"	2	2	1	0	1	1	50	2	18	0	164382.03756	-1	1
"524"	2	2	1	0	1	2	33	2	16	0	164382.03756	-1	2
"525"	2	0	1	0	1	1	85	4	17	0	0	-1	2
"526"	1	0	2	2	3	2	45	1	16	2	164382.03756	-1	1
"527"	2	1	2	0	5	2	23	0	14	0	6435	-1	2
"528"	2	3	0	2	1	1	33	0	18	3	164382.03756	50	2
"530"	2	1	2	0	3	2	52	2	16	0	31590	-1	2
"531"	1	0	3	0	2	2	78	2	14	0	0	-1	1
"533"	2	0	2	2	1	2	62	1	16	0	0	-1	2
"535"	4	0	2	0	4	1	76	8	16	0	0	-1	3
"536"	1	3	1	0	5	2	76	0	17	0	0	-1	2
"538"	3	2	0	0	1	2	31	5	12	0	0	-1	2
"539"	1	2	1	0	2	2	87	0	12	0	0	-1	2
